"Country","FUEL","FUELTYPE","MW","STATUS","STYPE","Year","RETIRE"
"BB","COAL","LIG",110,"RET","SUBCR",1966,1992
"BB","COAL","LIG",110,"RET","SUBCR",1966,2020
"BB","COAL","LIG",110,"RET","SUBCR",1966,2020
"BB","COAL","LIG",110,"RET","SUBCR",1967,2020
"BB","COAL","LIG",110,"RET","SUBCR",1967,2020
"BB","COAL","LIG",210,"RET","SUBCR",1968,
"BB","COAL","LIG",210,"RET","SUBCR",1980,
"BB","COAL","LIG",210,"RET","SUBCR",1980,2012
"BB","COAL","LIG",210,"RET","SUBCR",1982,2012
"BB","COAL","LIG",210,"RET","SUBCR",1982,2012
"BB","COAL","LIG",250,"OPR","SUBCR",2016,
"BB","COAL","LIG",250,"OPR","SUBCR",2016,
"BB","COAL","LIG",250,"OPR","SUBCR",2016,
"AA","COAL","",70,"RET","SUBCR",1959,2010
"AA","COAL","",125,"RET","SUBCR",1965,2016
"AA","COAL","",300,"RET","SUBCR",1973,2016
"AA","COAL","LIG",660,"CON","SUPERC",2022,
"BB","COAL","LIG",6,"OPR","SUBCR",1969,
"BB","COAL","LIG",2.55,"OPR","SUBCR",2015,
"BB","COAL","LIG",16.8,"OPR","SUBCR",1992,
"BB","COAL","LIG",6.4,"OPR","SUBCR",1946,
"BB","COAL","LIG",5,"OPR","SUBCR",1947,
"BB","COAL","LIG",12,"OPR","SUBCR",1956,
"BB","COAL","LIG",12,"OPR","SUBCR",1957,
"BB","COAL","LIG",25,"OPR","SUBCR",1967,
"BB","COAL","LIG",8.8,"OPR","SUBCR",1954,
"BB","COAL","LIG",21.2,"OPR","SUBCR",1954,
"BB","COAL","BIT",12.8,"OPR","SUBCR",1952,
"BB","COAL","BIT",12.8,"OPR","SUBCR",1952,
"BB","COAL","",25,"OPR","SUBCR",1963,
"BB","COAL","",25,"OPR","SUBCR",1975,
"BB","COAL","LIG",8.75,"OPR","SUBCR",1998,
"BB","COAL","LIG",10.55,"OPR","SUBCR",2009,
"BB","COAL","BIT",25,"OPR","SUBCR",1986,
"BB","COAL","BIT",25,"OPR","SUBCR",1987,
"BB","COAL","BIT",25,"OPR","SUBCR",1997,
"BB","COAL","BIT",17.5,"OPR","SUBCR",1958,
"BB","COAL","BIT",25,"OPR","SUBCR",1999,
"BB","COAL","BIT",25,"OPR","SUBCR",1994,
"BB","COAL","BIT",17.5,"OPR","SUBCR",1957,
